name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
Internet Node...,INT,https://intchain.io/,https://github.com/intfoundation,,,,,,,,,,,,,,
Trinity Netwo...,TNC,https://trinity.tech/,https://github.com/trinity-project,,,,,,,,,,,,,,
Spectre.ai Di...,SXDT,http://www.spectre.ai/,https://github.com/spectre-ai/,,,,,,,,,,,,,,
BlockMason Cr...,BCPT,https://blockmason.io/,https://github.com/timgalebach,,,,,,,,,,,,,,
Morpheus Network,MORPH,https://morpheus.network/,https://github.com/MorpheusNetwork,,24423631,2763,1527573582,,15875238,3.15,10.89,,0.649995,1022920,373,100000000,morpheus-network
Restart Energ...,MWAT,https://restartenergy.io,https://github.com/TransylvaniaHighTech/RestartEnergyICO,,,,,,,,,,,,,,
Moeda Loyalty...,MDA,https://moeda.in/,https://github.com/moedabank,,,,,,,,,,,,,,
PolicyPal Net...,PAL,https://www.policypal.network/,https://github.com/policypalnet,,,,,,,,,,,,,,
Local World F...,LWF,https://www.lwf.io/en,https://github.com/lwfcoin/,,,,,,,,,,,,,,
Nimiq Exchang...,NET,https://nimiq.com/,https://github.com/nimiq-network,,,,,,,,,,,,,,
Global Crypto...,GCC,https://www.thegcccoin.com/,https://github.com/TheGCCcoin/TheGCCcoin-source-code,,,,,,,,,,,,,,
Global Curren...,GCR,http://gcrcoin.com/,https://github.com/globalcurrencyreserve/gcr,,,,,,,,,,,,,,
Waves Communi...,WCT,https://wavesplatform.com/,https://github.com/wavesplatform/,,,,,,,,,,,,,,
Circuits of V...,COVAL,http://cov.al/,https://github.com/DecentricCorp,,,,,,,,,,,,,,
Vice Industry...,VIT,https://vicetoken.com,https://github.com/ViceIndustryToken/,,,,,,,,,,,,,,
Universal Cur...,UNIT,http://www.u-currency.com/,https://github.com/unitcurrency/unitcurrency/,,,,,,,,,,,,,,
Internet of P...,IOP,http://iop.global/,https://github.com/Internet-of-People,,,,,,,,,,,,,,
Colu Local Ne...,CLN,https://cln.network/,https://github.com/colucom/CLN-solidity,,,,,,,,,,,,,,
Open Trading ...,OTN,https://otn.org/,https://github.com/OpenTradingNetworkFoundation,,,,,,,,,,,,,,
Spectre.ai Ut...,SXUT,http://www.spectre.ai/,https://github.com/spectre-ai/,,,,,,,,,,,,,,
Memetic / Pep...,MEME,https://memetic.ai/,https://github.com/pepeteam/pepecoin,,,,,,,,,,,,,,
Interstellar ...,HOLD,https://www.interstellarcoin.com/,https://github.com/InterstellarHoldings/InterstellarHoldings/,,,,,,,,,,,,,,
Uniform Fisca...,UFO,https://ufocoin.net/,https://github.com/UFOCoins/ufo,,,,,,,,,,,,,,
United Crypto...,UCOM,https://unitedcryptocommunity.com/,https://github.com/unitedcryptocommunity/ucom/releases,,,,,,,,,,,,,,
Speed Mining ...,SMS,https://smscoin.jp/en,https://github.com/Speed-Mining/SMSCoin,,,,,,,,,,,,,,
Advanced Tech...,ARC,https://arcticcoin.org/,https://github.com/ArcticCore/arcticcoin,,,,,,,,,,,,,,
Intelligent T...,ITT,http://intelligenttrading.org/,https://github.com/intelligenttrading,,,,,,,,,,,,,,
Accelerator N...,ACC,https://accelerator.network/,https://github.com/acceleratornetwork/accelerator-token,,,,,,,,,,,,,,
Digital Money...,DMB,https://dmb-currency.com/,https://github.com/DMBcryptocurrency/DMB-project,,,,,,,,,,,,,,
Sharpe Platfo...,SHP,https://sharpe.capital/,https://github.com/sharpe-capital,,,,,,,,,,,,,,
LuckChain,BASH,http://luckchain.org/,https://github.com/LuckBash/Bash,,715868299,1463,1527318249,,2497901,,,,0.00348933,,1033,715868299,luckchain
Triaconta,TRIA,https://triaconta.com/,https://github.com/nevixa/triatoken_combicoin,,276001,2226,1526420958,,2255037,,,,8.1704,,1036,276001,triaconta
Bowhead,AHT,https://bowheadhealth.com,https://github.com/bowhead/docs,,8000000,1965,1527573563,,1224304,-0.17,31.5,,0.153038,110.449,1047,100000000,bowhead
Blitzcash,BLITZ,http://blitz.cash,https://bitbucket.org/blitz-dev/blitz-public/src,,4151216,729,1526769844,,716749,,,,0.17266,,1068,4151216,blitzcash
Growers Inter...,GRWI,http://growersintl.com/coin/,https://github.com/growersintl,,,,,,,,,,,,,,
Billionaire T...,XBL,https://billionairetoken.com/,https://github.com/BillionaireToken/TokenCore,,,,,,,,,,,,,,
Ultimate Secu...,USC, http://ultimatesecurecash.info/,https://github.com/SilentTrader/UltimateSecureCash,,,,,,,,,,,,,,
